iter	Passed	Remaining
0	1	112
1	1	90
2	2	83
3	3	76
4	4	92
5	6	95
6	6	89
7	7	85
8	8	82
9	8	79
10	9	76
11	10	74
12	10	72
13	11	70
14	12	69
15	12	67
16	13	66
17	14	65
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	20	64
24	21	64
25	23	67
26	25	67
27	26	68
28	27	67
29	28	66
30	29	64
31	29	63
32	30	61
33	31	61
34	33	62
35	34	61
36	35	60
37	36	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	51
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	44	42
51	45	42
52	46	41
53	48	41
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	57	27
68	58	26
69	59	25
70	59	24
71	61	24
72	63	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	83	0
99	83	0
